id,text
req_101,My smartwatch screen cracked after a minor bump against a door frame.
req_102,I need to change the shipping address for order #8821 immediately.
req_103,The noise cancellation on these earbuds creates a weird hissing sound.
req_104,How do I download the invoice for my last purchase?
req_105,Smart home hub keeps losing connection to the wifi every 2 hours.
req_106,The battery on my fitness tracker drains by 50% overnight doing nothing.
req_107,Is there a warranty coverage for water damage on the X5 model?
req_108,Great job on the new update. Now my watch won't sync at all. Perfect.
req_109,The charging case for my earbuds feels loose and doesn't close properly.
req_110,Where is the return label? I have been waiting for the email for 2 days.
req_111,My robot vacuum just spins in circles and slams into walls.
req_112,The touch response on the tablet screen is lagging by a full second.
req_113,Love how these 'sweatproof' headphones died after one gym session.
req_114,The laptop fan is making a grinding noise like a jet engine taking off.
req_115,I cannot log in to my account even after resetting the password twice.
req_116,The 5G signal drops constantly even when I am standing next to the tower.
req_117,Best customer service ever. Put me on hold for 40 minutes then hung up.
req_118,The camera lens on the back of the phone is scratched out of the box.
req_119,My smart speaker randomly starts talking in the middle of the night. creepy.
req_120,Please cancel my subscription to the cloud storage plan.